DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE 
beachrock,,,friable to indurated,,occurs in thin beds dipping seaward at less than 15,,beachrock: A friable to indurated rock consisting of sand grains of various minerals cemented by calcium carbonate; occurs in thin beds dipping seaward at less than 15 °. Also known as beach standstone.
bedding-plane cave,passage,especially when there is a difference in susceptibility to corrosion in the two beds,,,formed along a bedding plane,,"bedding-plane cave: A passage formed along a bedding plane, especially when there is a difference in susceptibility to corrosion in the two beds."
blade,projection,generally the remains of a partition or bridge,of which it is an integral part|thin sharp,,"jutting out from roof , wall , or floor|In a cave",,"blade: In a cave, a thin sharp projection jutting out from roof, wall, or floor, of which it is an integral part; generally the remains of a partition or bridge."
blanket,dripstone,,thick layer,,,,"blanket: A thick layer of dripstone, not translucent, see also bacon; curtain; drapery."
blind valley,valley,,,,at the point where its stream disappears underground,,blind valley: A valley that ends suddenly at the point where its stream disappears underground; some blind valleys have no present-day streams. See also half-blind valley; marginal polje.
blowhole,hole,,,through which air and water are forced by incoming waves,near the shore|on land,,blowhole: A hole on land near the shore through which air and water are forced by incoming waves.
blowhole,hole,,,"through which air blows in and out with observable force , sometimes audibly",,small,"blowhole: A small hole in the surface of the Nullarbor Plain through which air blows in and out with observable force, sometimes audibly. * blowing cave. A cave out of which or into which a current of air flows intermittently."
blue hole,emergence,,,water rises from below without great turbulence,,,blue hole: A major emergence where water rises from below without great turbulence. See also boiling spring.
blue hole,sinkhole,,,,drowned,,blue hole: A drowned solution sinkhole.
bogaz,,enlarged by solution of the limestone,,,,,bogaz: A long narrow chasm enlarged by solution of the limestone. See also corridor; struga; kanjon.
boiling spring,spring,,turbulent,,,large,boiling spring: A large turbulent spring. See also blue hole.
bone-breccia,Cave breccia,,,,,,bone-breccia: Cave breccia including much bone. breccia
grape formation,deposit of calcium carbonate,,grapelike,,generally found on walls of caves,,"botryoid: A grapelike deposit of calcium carbonate generally found on walls of caves. Synonyms, clusterite; grape formation."
botryoid,deposit of calcium carbonate,,grapelike,,generally found on walls of caves,,"botryoid: A grapelike deposit of calcium carbonate generally found on walls of caves. Synonyms, clusterite; grape formation."
clusterite,deposit of calcium carbonate,,grapelike,,generally found on walls of caves,,"botryoid: A grapelike deposit of calcium carbonate generally found on walls of caves. Synonyms, clusterite; grape formation."
bourne,stream,,,Intermittent,in a normally dry valley in chalk country,,bourne: Intermittent stream in a normally dry valley in chalk country.
boxwork,thin blades,,Network of thin blades,,etched out in relief on the limestone walls and ceiling of a cave,,boxwork: Network of thin blades of calcite or gypsum etched out in relief on the limestone walls and ceiling of a cave.
bridge,rock span,,a residual rock span across a passage,,In a cave,,"bridge: In a cave, a residual rock span across a passage. See also natural bridge"
buried karst,Karst topography,buried by younger sediments,,,,,buried karst: Karst topography buried by younger sediments. See also covered karst; paleokarst.
calcarenite,Limestone or dolomite,,,,,Size of particles ranges from 1 / 16 to 2 millimeters,calcarenite: Limestone or dolomite composed of coral or shell sand or of grains derived from the disintegration and erosion of older limestones. Size of particles ranges from 1 / 16 to 2 millimeters.
calcareous mudstone,limestone|dolomite,,,,,in which the grains have an average diameter of less than 1 / 16 millimeter,calcilutite: Clastic limestone or dolomite in which the grains have an average diameter of less than 1 / 16 millimeter; calcareous mudstone.
calcilutite,limestone|dolomite,,,,,in which the grains have an average diameter of less than 1 / 16 millimeter,calcilutite: Clastic limestone or dolomite in which the grains have an average diameter of less than 1 / 16 millimeter; calcareous mudstone.
calcirudite,limestone,,fragmental,,,in which the particles are generally larger than 2 millimeters,calcirudite: A fragmental limestone in which the particles are generally larger than 2 millimeters.
calcite,mineral,,like aragonite but differing in crystal form,,,,"calcite: A mineral composed of calcium carbonate, CaCOs, like aragonite but differing in crystal form; the principal constituent of limestone."
calcite bubble,sphere,formed by the deposition of calcite around a gas bubble,"the interior is smooth , and the exterior consists of small jagged crystals|hollow",,,,"calcite bubble: A hollow sphere formed by the deposition of calcite around a gas bubble; the interior is smooth, and the exterior consists of small jagged crystals."
